Exchange Rates to USD (Last Updated: 30-SEP-2021),,Visteon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
Hong Kong Dollar (HKD),7.79583,7.79583,7.79583,7.79583,7.79583,7.79583,7.79583,7.78822,7.76524,7.75652,7.75735,7.75411,7.77005,7.78929,7.8374,7.83743,7.75873,7.786,7.786,7.786,7.786,7.786,7.786,7.786,7.786,7.786,7.786,7.786,7.786,7.786,7.786,7.786,7.786,7.786
Hungary Forint (HUF),208.3333,200,212.766,184.2321,167.8671,202.9966,209.8384,195.8025,231.0358,225.4817,231.8732,276.3739,285.065,275.0875,269.3025,289.9679,304.5592,295.14,295.14,295.14,295.14,295.14,295.14,295.14,295.14,295.14,295.14,295.14,295.14,295.14,295.14,295.14,295.14,295.14
Indian Rupee (INR),45.3765,44.09807,45.64558,41.49313,40.2222,48.91895,45.98087,45.69039,53.01857,58.33483,60.9477,64.15083,67.58366,65.4813,68.04512,70.41804,74.21425,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3
Indonesian Rupiah (IDR),,,,,9350,9350,9350,8779.817,9258.806,10340.33,11833.15,13449.15,13567.89,13355.8,14172.25,14204.8,14632.95,14368.00003,14368.00003,14368.00003,14368.00003,14368.00003,14368.00003,14368.00003,14368.00003,14368.00003,14368.00003,14368.00003,14368.00003,14368.00003,14368.00003,14368.00003,14368.00003,14368.00003
Japanese Yen (JPY),107.0928,110.1794,114.7966,118.0679,100.4413,93.7562,88.55415,79.56,79.8925,95.97333,104.3908,120.6958,109.6325,112.04,109.9383,108.7542,107.4858,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
Macedonian Denar (MKD),,,,,,,,,,,46.07475,55.01884,55.70696,54.82929,51.81195,54.89981,54.10458,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88,51.88
Mexican Peso (MXN),11.4257,10.8915,11.11354,10.94048,10.89065,13.71532,12.74117,12.25139,13.19369,12.86062,13.15131,15.78833,17.92619,18.79679,18.98422,19.42875,21.78486,20.1301,20.1301,20.1301,20.1301,20.1301,20.1301,20.1301,20.1301,20.1301,20.1301,20.1301,20.1301,20.1301,20.1301,20.1301,20.1301,20.1301
Moroccan Dollars (MAD),8.4,8.4,8.4,8.4,8.4,8.4,8.43326,8.06343,8.56606,8.4324,8.3736,9.70596,9.82706,9.73455,9.36314,9.63438,9.53339,8.9558,8.9558,8.9558,8.9558,8.9558,8.9558,8.9558,8.9558,8.9558,8.9558,8.9558,8.9558,8.9558,8.9558,8.9558,8.9558,8.9558
New Zealand Dollar (NZD),1.5254,1.4025,1.57,1.36333,1.27373,1.62655,1.40623,1.25941,1.25975,1.22407,1.20278,1.44714,1.4862,1.39522,1.44841,1.51737,1.55418,1.42878,1.42878,1.42878,1.42878,1.42878,1.42878,1.42878,1.42878,1.42878,1.42878,1.42878,1.42878,1.42878,1.42878,1.42878,1.42878,1.42878
Philippines Peso (PHP),56.2485,55.04202,52.92838,46.50915,41.71308,47.94766,45.42791,43.37725,42.87774,42.35166,44.31641,45.41641,47.12025,50.44616,52.70699,52.08708,49.91033,49.705,49.705,49.705,49.705,49.705,49.705,49.705,49.705,49.705,49.705,49.705,49.705,49.705,49.705,49.705,49.705,49.705
Poland Zlotych (PLN),3.7606,3.236,3.171,2.78453,2.29393,3.16099,3.0319,2.93581,3.33867,3.17937,3.11822,3.74286,3.94895,3.80465,3.58447,3.84784,3.8836,3.8627,3.8627,3.8627,3.8627,3.8627,3.8627,3.8627,3.8627,3.8627,3.8627,3.8627,3.8627,3.8627,3.8627,3.8627,3.8627,3.8627
Romania RON (RON),,,,,,,,,,,,,,,3.92036,4.23919,4.24441,4.1808,4.1808,4.1808,4.1808,4.1808,4.1808,4.1808,4.1808,4.1808,4.1808,4.1808,4.1808,4.1808,4.1808,4.1808,4.1808,4.1808
Russian Ruble (RUB),23.844,23.844,23.844,23.844,23.844,32.1279,30.32965,29.31526,31.40425,31.71426,35.98998,61.38982,68.43022,58.4347,62.27844,65.42894,71.08681,73.4021,73.4021,73.4021,73.4021,73.4021,73.4021,73.4021,73.4021,73.4021,73.4021,73.4021,73.4021,73.4021,73.4021,73.4021,73.4021,73.4021
Singapore Dollar (SGD),1.702,1.6644,1.60749,1.50978,1.38353,1.46143,1.37403,1.25739,1.26356,1.2516,1.25946,1.37641,1.39044,1.38547,1.34602,1.36939,1.38355,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453,1.3453
Slovakia (SKK),21.07753,21.07753,21.07753,21.07753,21.07753,21.76305,22.14829,22.33,22.33,22.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slovenian Tolar (SIT),30.43,30.43,30.43,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
South African Rand (ZAR),6.3714,6.36612,6.5714,7.04933,8.11603,8.44997,7.40371,7.06585,8.17589,9.59578,10.75477,12.54613,15.51003,13.3198,13.15849,14.51435,16.82813,14.6622,14.6622,14.6622,14.6622,14.6622,14.6622,14.6622,14.6622,14.6622,14.6622,14.6622,14.6622,14.6622,14.6622,14.6622,14.6622,14.6622
South Korean Won (KRW),1164.978,1023.897,965.9583,928.6709,913.575,1284.694,1157.208,1100.214,1141.345,1098.662,1042.649,1136.893,1187.948,1141.03,1097.077,1168.028,1196.968,1164.34,1164.34,1164.34,1164.34,1164.34,1164.34,1164.34,1164.34,1164.34,1164.34,1164.34,1164.34,1164.34,1164.34,1164.34,1164.34,1164.34
Swedish Kronar (SEK),7.4539,7.47874,7.49109,6.76285,6.07595,7.67419,7.25597,6.47114,6.8997,6.50991,6.7587,8.38386,8.38019,8.51644,8.64482,9.45606,9.23421,8.6251,8.6251,8.6251,8.6251,8.6251,8.6251,8.6251,8.6251,8.6251,8.6251,8.6251,8.6251,8.6251,8.6251,8.6251,8.6251,8.6251
Swiss Franc (CHF),1.2526,1.24631,1.25471,1.20238,1.01428,1.09052,1.04806,0.88099,0.94427,0.92745,0.90941,0.96098,0.99111,0.98296,0.9748,0.99399,0.94185,0.9168,0.9168,0.9168,0.9168,0.9168,0.9168,0.9168,0.9168,0.9168,0.9168,0.9168,0.9168,0.9168,0.9168,0.9168,0.9168,0.9168
Taiwan Dollar (TWD),32.24863,32.24863,32.24863,32.24863,32.24863,33.06257,31.82687,29.40341,29.84016,29.69433,30.14583,31.79958,32.98175,30.56808,30.08016,31.10633,29.78417,27.762,27.762,27.762,27.762,27.762,27.762,27.762,27.762,27.762,27.762,27.762,27.762,27.762,27.762,27.762,27.762,27.762
Thai Baht (THB),40.159,40.27031,39.01646,32.58085,31.14653,34.49858,32.08541,30.33916,31.21991,30.60833,32.47583,34.25416,35.52091,34.124,32.25375,31.30583,31.40667,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
Tunisian Dinar (TND),,,,,,,,,,,1.6822,1.94977,2.11278,2.4056,2.59042,2.94706,2.80232,2.7809,2.7809,2.7809,2.7809,2.7809,2.7809,2.7809,2.7809,2.7809,2.7809,2.7809,2.7809,2.7809,2.7809,2.7809,2.7809,2.7809
Turkey New Lira (TRY),1.31583,1.31583,1.31583,1.31583,1.31208,1.5607,1.51898,1.57,1.65,1.765,2.177,2.72595,2.97002,3.5702,4.2921,5.55,6.80786,8.3749,8.3749,8.3749,8.3749,8.3749,8.3749,8.3749,8.3749,8.3749,8.3749,8.3749,8.3749,8.3749,8.3749,8.3749,8.3749,8.3749
UK Pounds (GBP),0.5524,0.54956,0.55106,0.49948,0.50405,0.64781,0.6471,0.62349,0.63759,0.64087,0.60181,0.65133,0.71301,0.77626,0.74465,0.79003,0.78134,0.72685,0.72685,0.72685,0.72685,0.72685,0.72685,0.72685,0.72685,0.72685,0.72685,0.72685,0.72685,0.72685,0.72685,0.72685,0.72685,0.72685
US Dollar (USD),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vietnamese Dong (VND),,,,,,,,,,,,,,,22997.59,23300,23261.54,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200,23200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visteon Confidential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
